page_id,title,tag,note
7118487592,Как пользоваться саммаризатором,инструменты_поддержки,
6984827004,Эталон страницы по карьерке команды,sup-hr,
7091650642,"Чарджи, досудебные претензии, CA",hub_page,хаб / оглавление раздела
7255130389,Услуга eSIM от Yesim,описания_продукта,
6947602615,Универсальный алгоритм обработки тикета 3 lite 1,регламенты_поддержки,
7122616667,Трансфер Kiwitaxi.ru,поставщики/партнёры,
7304380537,Типовые баги и способы их решения,регламенты_поддержки,ручная разметка
6820954147,Технические проблемы с доступами 3 линии,регламенты_поддержки,
6777274644,"Таблица продуктовых команд, SoS",hub_page,хаб / оглавление раздела
6977814860,Сценарии и статусы эскалаций партнёрам Мета,регламенты_поддержки,ручная разметка
6783435164,Стратегия CX 2026–2027,sup-hr,
6524273104,Статья про FlyOne в ТФ (Аня Лаврова),поставщики/партнёры,
7319814187,Статистика ошибок по результатам проверок QA (апрель-июнь),sup-qa,
6496715526,Статистика Авиасейлс — описание для саппорта (Влад Мета),описания_продукта,ручная разметка
6967885866,Сроки ответа клиентам,правила_авиа,
7352483902,Справочник по невозвратным таксам,правила_авиа,
5618434354,"Список АК, к которым пасс может обратиться сам (Настя)",правила_авиа,
5970624707,Списки команд,sup-hr,
7036043353,MISSING,?,страница не найдена
6844842020,Слёт Саппорта 2026,sup-hr,
6941769731,MISSING,?,страница не найдена
7035977783,MISSING,?,страница не найдена
5970952469,Сирена. Тарифы,инструменты_поддержки,инструкции по GDS/Сирене
5970362594,Сирена. Обмен,инструменты_поддержки,инструкции по GDS/Сирене
5970624698,Сирена. Коррекция данных,инструменты_поддержки,инструкции по GDS/Сирене
5973705079,Сирена. Как посмотреть бронь,инструменты_поддержки,инструкции по GDS/Сирене
5970985176,Сирена. Доп услуги,инструменты_поддержки,инструкции по GDS/Сирене
5979177111,Сирена. Возврат авиабилета,инструменты_поддержки,инструкции по GDS/Сирене
5970362615,Сирена. Возврат,инструменты_поддержки,инструкции по GDS/Сирене
5970657445,Сирена. Бронирование,инструменты_поддержки,инструкции по GDS/Сирене
5970362657,Сирена. Архив и история PNR,инструменты_поддержки,инструкции по GDS/Сирене
5978554653,Сирена. Аннуляция билета,инструменты_поддержки,инструкции по GDS/Сирене
7290880011,Сибирская Лёгкая Авиация / СЛ / SL / 99B,поставщики/партнёры,
6857326648,Сделать таблицы по срокам штрафов по возвратам/обменам для ЛК Pegasus (Лиза Алмазова),поставщики/партнёры,
7270531098,"Ручная выписка Turkish Airlines (TKAer, TKKZ)",поставщики/партнёры,
7270629450,Ручная выписка Pegasus,поставщики/партнёры,
